species_name,total_trade_records,total_quantity,num_importers,num_exporters,num_trade_years,avg_quantity_per_trade,trade_diversity,trade_intensity,log_total_quantity,log_trade_records,pathogen_network_degree,avg_neighbor_degree,clustering_coefficient,max_degree_variant,is_pathogen_hub,is_high_risk_reservoir,normalized_degree,high_risk_label
Ailurus fulgens,1019,2331.0,51,42,50,2.2875368007850834,2142,2.2875368007850834,7.754481547470383,6.927557906278317,384,498.6875,0.6371165143603134,384,0,0,0.2572002679169457,1
Aldabrachelys gigantea,3117,73084.0,78,53,49,23.44690407443054,4134,23.44690407443054,11.199378426323394,8.044947049617722,0,0.0,0.0,0,0,0,0.0,0
Alligator mississippiensis,4795470,217815188.62272325,245,196,50,45.42103039383486,48020,45.42103039383486,19.199157507182495,15.383182488795814,268,569.955223880597,1.0,268,0,0,0.17950435365036838,1
Anodorhynchus leari,242,4135.9,18,17,29,17.090495867768592,306,17.090495867768592,8.32770199406387,5.493061443340548,274,543.8284671532847,1.0,274,0,0,0.18352310783657066,1
Balaenidae spp.,91,633.08,18,23,29,6.956923076923077,414,6.956923076923077,6.452175129442125,4.5217885770490405,0,0.0,0.0,0,0,0,0.0,0
Boa constrictor,37617,4269310.112,152,139,50,113.49416784964244,21128,113.49416784964244,15.266963040105077,10.53523793823075,0,0.0,0.0,0,0,0,0.0,0
Branta ruficollis,996,6266.0,70,29,49,6.291164658634538,2030,6.291164658634538,8.743053050224676,6.904750769961838,97,480.4226804123711,1.0,97,0,0,0.06496985934360348,1
Buceros bicornis,294,1488.0,44,36,46,5.061224489795919,1584,5.061224489795919,7.305860032684009,5.68697535633982,0,0.0,0.0,0,0,0,0.0,0
Caiman crocodilus,1133428,178546734.9841328,226,164,50,157.52807852296996,37064,157.52807852296996,19.0003609511551,13.940758109120514,90,434.4555555555556,1.0,90,0,0,0.06028131279303416,1
Caiman spp.,1652,42057.637,33,77,48,25.458618038740923,2541,25.458618038740923,10.646820042645059,7.410347097821024,0,0.0,0.0,0,0,0,0.0,0
Caloenas nicobarica,437,2383.0,51,38,43,5.453089244851259,1938,5.453089244851259,7.776535028185241,6.082218910376446,0,0.0,0.0,0,0,0,0.0,0
Chelonia mydas,8899,1873810.344,112,163,50,210.56414698280707,18256,210.56414698280707,14.443485066488797,9.093806555720231,13,187.3846153846154,1.0,13,0,0,0.008707300736771601,1
Chelonoidis carbonarius,11391,940727.005,96,73,50,82.5851114915284,7008,82.5851114915284,13.754409327900671,9.340666633651757,0,0.0,0.0,0,0,0,0.0,0
Ciconia nigra,272,440.0,41,37,44,1.6176470588235294,1517,1.6176470588235294,6.089044875446846,5.60947179518496,0,0.0,0.0,0,0,0,0.0,0
Crocodylus cataphractus,823,109083.0,41,32,41,132.543134872418,1312,132.543134872418,11.599873506620884,6.714170529909472,0,0.0,0.0,0,0,0,0.0,0
Crocodylus moreletii,2696,168635.3,52,26,48,62.55018545994065,1352,62.55018545994065,12.03549960386674,7.89989532313973,268,569.955223880597,1.0,268,0,0,0.17950435365036838,1
